Time;20210518_MCF7_Bmal1_Luc_1
93.5;6934.27
93.6667;6911.63
93.8333;6949.33
94.0;6927.83
94.1667;6943.11
94.3333;6944.06
94.5;6965.33
94.6667;6950.23
94.8333;6988.01
95.0;6980.79
95.1667;6971.65
95.3333;6991.54
95.5;6985.91
95.6667;6968.78
95.8333;6989.78
96.0;7006.04
96.1667;6997.16
96.3333;6975.99
96.5;7018.75
96.6667;6993.0
96.8333;6984.91
97.0;6986.43
97.1667;6993.68
97.3333;6981.91
97.5;6986.15
97.6667;6981.51
97.8333;6979.45
98.0;6972.78
98.1667;6972.19
98.3333;6974.93
98.5;6975.92
98.6667;6968.41
98.8333;6942.11
99.0;6957.55
99.1667;6938.88
99.3333;6936.27
99.5;6930.4
99.6667;6934.8
99.8333;6911.35
100.0;6932.37
100.167;6915.47
100.333;6894.21
100.5;6898.33
100.667;6880.45
100.833;6895.72
101.0;6871.61
101.167;6880.87
101.333;6862.25
101.5;6843.65
101.667;6854.64
101.833;6847.91
102.0;6841.69
102.167;6823.11
102.333;6829.27
102.5;6820.46
102.667;6788.18
102.833;6804.49
103.0;6821.37
103.167;6790.17
103.333;6790.95
103.5;6785.6
103.667;6781.9
103.833;6789.4
104.0;6780.92
104.167;6763.09
104.333;6749.65
104.5;6746.96
104.667;6734.8
104.833;6735.88
105.0;6742.9
105.167;6709.36
105.333;6722.03
105.5;6716.2
105.667;6715.16
105.833;6693.73
106.0;6738.86
106.167;6720.02
106.333;6713.23
106.5;6703.42
106.667;6689.42
106.833;6688.87
107.0;6694.06
107.167;6708.47
107.333;6702.14
107.5;6693.51
107.667;6721.58
107.833;6684.22
108.0;6700.49
108.167;6687.13
108.333;6700.57
108.5;6713.95
108.667;6665.36
108.833;6689.49
109.0;6698.93
109.167;6690.27
109.333;6709.09
109.5;6688.88
109.667;6681.61
109.833;6684.63
110.0;6658.8
110.167;6684.76
110.333;6678.67
110.5;6699.59
110.667;6683.34
110.833;6693.31
111.0;6683.83
111.167;6678.63
111.333;6676.67
111.5;6673.73
111.667;6651.35
111.833;6662.85
112.0;6667.02
112.167;6665.53
112.333;6687.6
112.5;6655.4
112.667;6658.41
112.833;6652.51
113.0;6665.3
113.167;6646.4
113.333;6642.27
113.5;6640.0
113.667;6635.39
113.833;6612.3
114.0;6626.97
114.167;6603.85
114.333;6599.28
114.5;6623.49
114.667;6597.37
114.833;6603.24
115.0;6607.38
115.167;6596.35
115.333;6568.71
115.5;6593.62
115.667;6562.06
115.833;6556.42
116.0;6573.04
116.167;6540.91
116.333;6533.73
116.5;6540.71
116.667;6540.17
116.833;6521.0
117.0;6526.7
117.167;6509.63
117.333;6496.78
117.5;6509.83
117.667;6491.01
117.833;6480.21
118.0;6473.59
118.167;6442.84
118.333;6444.46
118.5;6451.66
118.667;6433.98
118.833;6445.64
119.0;6422.95
119.167;6395.73
119.333;6396.09
119.5;6394.62
119.667;6387.66
119.833;6380.91
120.0;6367.79
120.167;6348.75
120.333;6335.66
120.5;6333.7
120.667;6329.5
120.833;6312.44
121.0;6301.11
121.167;6287.47
121.333;6291.62
121.5;6257.32
121.667;6259.67
121.833;6242.29
122.0;6245.72
122.167;6219.15
122.333;6204.43
122.5;6219.81
122.667;6204.49
122.833;6185.38
123.0;6163.52
123.167;6158.18
123.333;6134.38
123.5;6166.94
123.667;6113.0
123.833;6111.68
124.0;6110.25
124.167;6120.59
124.333;6084.05
124.5;6092.78
124.667;6075.72
124.833;6080.44
125.0;6058.98
125.167;6069.1
125.333;6056.39
125.5;6071.01
125.667;6053.66
125.833;6023.1
126.0;6014.51
126.167;6028.43
126.333;6019.71
126.5;6017.74
126.667;6021.67
126.833;5996.49
127.0;6005.89
127.167;5988.92
127.333;5978.67
127.5;5981.56
127.667;5966.32
127.833;5961.29
128.0;5972.49
128.167;5951.83
128.333;5964.5
128.5;5961.04
128.667;5939.69
128.833;5948.48
129.0;5954.48
129.167;5931.21
129.333;5958.01
129.5;5944.81
129.667;5930.2
129.833;5939.88
130.0;5937.29
130.167;5942.66
130.333;5920.06
130.5;5926.32
130.667;5907.36
130.833;5899.23
131.0;5930.91
131.167;5920.05
131.333;5907.39
131.5;5912.83
131.667;5924.34
131.833;5899.76
132.0;5924.99
132.167;5911.12
132.333;5920.04
132.5;5898.23
132.667;5891.7
132.833;5915.93
133.0;5898.76
133.167;5908.27
133.333;5907.86
133.5;5929.98
133.667;5904.68
133.833;5917.68
134.0;5911.44
134.167;5925.27
134.333;5917.49
134.5;5943.78
134.667;5919.14
134.833;5922.04
135.0;5917.35
135.167;5920.78
135.333;5929.5
135.5;5933.97
135.667;5940.5
135.833;5934.56
136.0;5935.65
136.167;5962.41
136.333;5934.22
136.5;5940.41
136.667;5944.01
136.833;5959.68
137.0;5970.44
137.167;5963.19
137.333;5963.6
137.5;5952.47
137.667;5965.5
137.833;5965.87
138.0;5962.92
138.167;5959.72
138.333;5949.85
138.5;5960.57
138.667;5976.07
138.833;5965.77
139.0;5962.68
139.167;5980.61
139.333;5962.69
139.5;5969.9
139.667;5981.79
139.833;5976.59
140.0;5982.4
140.167;5965.89
140.333;5980.58
140.5;5995.47
140.667;5976.92
140.833;5993.91
141.0;5969.81
141.167;5986.5
141.333;5986.67
141.5;5988.32
141.667;5972.84
141.833;5990.87
142.0;5976.89
142.167;5972.48
142.333;5966.29
142.5;5992.45
142.667;5949.12
142.833;5982.89
143.0;5979.89
143.167;5979.96
143.333;5976.09
143.5;5970.84
143.667;5983.37
143.833;5981.51
144.0;5979.8
144.167;5977.12
144.333;5971.31
144.5;5990.0
144.667;5958.77
144.833;5956.95
145.0;5976.57
145.167;5976.91
145.333;5988.04
145.5;5977.18
145.667;5976.06
145.833;5959.1
146.0;5964.37
146.167;5973.41
146.333;5978.42
146.5;5973.86
146.667;5956.15
146.833;5951.79
147.0;5936.77
147.167;5988.65
147.333;5957.77
147.5;5959.48
147.667;5947.3
147.833;5947.97
148.0;5954.73
148.167;5957.21
148.333;5948.4
148.5;5963.57
148.667;5938.55
148.833;5951.58
149.0;5960.5
149.167;5946.65
149.333;5936.51
149.5;5947.02
149.667;5962.0
149.833;5934.85
150.0;5950.28
150.167;5916.85
150.333;5935.95
150.5;5922.84
150.667;5917.88
150.833;5957.7
151.0;5955.27
151.167;5949.31
151.333;5947.69
151.5;5964.99
151.667;5947.89
151.833;5947.36
152.0;5934.97
152.167;5950.31
152.333;5952.42
152.5;5943.12
152.667;5945.13
152.833;5951.0
153.0;5948.51
153.167;5967.55
153.333;5950.48
153.5;5967.39
153.667;5969.74
153.833;5951.3
154.0;5968.16
154.167;5948.1
154.333;5970.57
154.5;5970.44
154.667;5970.84
154.833;5976.37
155.0;5978.91
155.167;5979.49
155.333;5980.68
155.5;5981.4
155.667;5987.82
155.833;5976.48
156.0;5998.14
156.167;5983.35
156.333;5994.15
156.5;5997.58
156.667;5996.38
156.833;5991.46
157.0;6001.18
157.167;6005.24
157.333;6023.78
157.5;6011.78
157.667;6000.94
157.833;6019.81
158.0;6005.75
158.167;6035.95
158.333;6008.51
158.5;6024.24
158.667;6034.21
158.833;6053.24
159.0;6028.84
159.167;6063.16
159.333;6064.01
159.5;6055.84
159.667;6048.48
159.833;6057.33
160.0;6051.87
160.167;6090.67
160.333;6086.46
160.5;6102.27
160.667;6102.24
160.833;6094.49
161.0;6106.32
161.167;6118.47
161.333;6084.83
161.5;6101.11
161.667;6113.27
161.833;6118.3
162.0;6124.27
162.167;6127.13
162.333;6121.19
162.5;6131.49
162.667;6130.08
162.833;6135.49
163.0;6124.61
163.167;6157.9
163.333;6153.95
163.5;6163.36
163.667;6146.31
163.833;6170.77
164.0;6167.51
164.167;6181.14
164.333;6173.15
164.5;6190.98
164.667;6185.73
164.833;6171.44
165.0;6153.58
165.167;6167.67
165.333;6185.83
165.5;6185.61
165.667;6191.33
165.833;6213.7
166.0;6203.68
166.167;6231.12
166.333;6214.85
166.5;6208.27
166.667;6207.8
166.833;6223.0
167.0;6199.61
167.167;6215.06
167.333;6198.6
167.5;6200.51
167.667;6213.76
167.833;6200.87
168.0;6198.81
168.167;6210.51
168.333;6209.43
168.5;6242.58
168.667;6230.84
168.833;6212.54
169.0;6210.84
169.167;6226.96
169.333;6216.21
169.5;6230.97
169.667;6205.41
169.833;6212.48
170.0;6230.14
170.167;6222.22
170.333;6224.09
